Metadaten (Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraum bezogen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metadaten (Werte),Wanderungsdaten,Ortsteile,Jahr,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,5,6,21,19,50,18,15,26,5,8,7,3,0,22,31,24,14,13,0,.,3,0,0,28,16,5,5,.,.,47,25,.,7,5,38,86,48,9,5,.,20,18,61,6,45,32,.,106,486,70,181,58,7,42,12,0,4,41,36,6,20,0,4
72,0,3,6,4,4,6,4,6,.,.,.,.,.,8,.,.,.,7,.,.,0,.,0,4,3,3,.,0,0,6,3,.,0,6,4,24,21,12,.,0,6,21,31,10,31,28,.,12,47,184,15,7,7,3,6,0,.,5,5,6,5,0,5
73,3,5,6,12,12,10,12,12,.,4,4,0,.,9,8,14,6,12,0,0,0,0,.,9,8,.,.,.,.,9,12,.,3,.,19,31,21,5,5,0,3,4,24,.,26,13,.,17,108,16,260,49,19,19,14,0,13,13,23,.,9,0,4
74,3,.,.,.,10,6,4,8,.,.,8,.,0,12,10,.,3,4,0,0,.,0,0,6,.,.,0,.,.,6,3,0,.,4,7,7,5,.,0,0,6,5,14,0,28,16,.,8,27,8,59,312,45,11,9,4,5,8,10,6,10,5,.
75,.,0,0,0,3,.,3,.,0,0,.,.,0,.,.,0,.,0,0,0,0,0,0,.,0,.,0,8,.,3,.,0,.,.,4,8,.,4,0,0,5,0,7,.,4,.,10,0,6,6,21,20,84,3,0,0,.,5,0,0,3,0,0
80,.,5,12,6,8,11,14,6,7,9,22,11,5,8,10,15,11,13,8,.,5,0,.,23,7,0,.,4,0,13,10,.,7,4,7,13,6,8,.,0,0,6,13,.,19,11,0,13,28,7,19,8,0,482,88,12,30,95,61,33,40,0,15
81,3,4,3,4,3,4,5,3,4,0,12,3,.,4,3,4,.,4,.,.,0,0,0,9,6,.,0,0,3,5,6,0,.,0,4,4,7,0,3,0,0,3,.,0,7,6,0,.,10,4,3,9,3,88,185,31,45,17,40,20,7,0,7
82,0,0,0,0,.,0,.,0,.,0,.,0,0,.,.,.,.,0,0,0,0,0,0,.,0,0,0,0,.,3,.,0,0,0,.,.,.,.,0,0,0,0,.,.,3,0,0,.,4,0,0,.,.,14,28,47,10,11,3,.,6,0,.
83,0,.,0,.,.,.,3,3,3,6,.,.,9,3,.,.,0,5,.,.,4,0,0,3,5,0,0,.,.,.,.,.,0,0,0,5,.,0,0,0,5,0,.,.,4,3,0,0,.,4,4,11,4,23,52,8,157,9,31,5,10,6,17
90,6,7,20,40,39,47,84,21,13,6,21,8,0,20,12,11,11,7,0,0,4,3,4,40,23,20,0,3,14,48,38,0,12,.,27,35,17,8,8,0,3,3,7,4,6,4,3,26,43,9,27,19,3,132,51,9,32,416,234,56,102,3,27
91,4,14,23,20,19,21,39,23,15,11,21,3,4,15,15,19,3,10,.,.,12,0,0,26,19,8,.,4,6,41,12,.,4,12,14,19,17,.,0,.,3,6,.,.,8,4,.,26,22,15,24,22,5,77,41,5,21,172,447,100,145,3,41
92,.,4,7,10,11,8,13,8,7,16,23,6,0,9,8,.,5,12,0,0,3,0,0,9,.,5,.,0,.,3,.,.,12,.,0,10,8,.,0,.,.,.,7,0,7,.,.,4,12,.,4,3,0,43,23,.,9,40,88,159,53,.,35
93,.,6,16,11,5,15,30,33,21,12,42,8,.,31,8,25,7,9,8,0,9,3,.,37,19,3,3,0,.,24,9,.,14,6,3,18,5,3,0,0,.,.,9,0,3,3,0,10,10,6,.,.,6,28,13,.,18,69,91,31,380,4,12
94,0,0,.,0,0,0,3,9,.,.,11,.,3,3,0,0,3,0,.,.,0,0,0,.,.,0,0,0,0,3,.,0,0,.,.,.,.,0,0,0,.,0,.,0,.,0,0,0,0,0,3,0,0,0,0,.,9,4,4,4,8,69,6
95,.,.,3,11,.,6,6,4,5,7,7,0,.,.,4,.,3,.,0,0,0,0,.,7,6,.,0,.,.,11,4,.,.,.,3,6,3,.,3,0,0,3,.,0,0,.,0,.,8,3,.,4,3,6,9,.,18,8,26,20,38,3,137
